title,description,link,publish_date
"Iran blames missile strike that downed Ukrainian airliner on bad communication, poor alignment","
        
                        <img src='https://i.cbc.ca/1.5420325.1579051409!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_460/iran-crash.JPG' alt='IRAN-CRASH/' width='460' title='Debris of a plane belonging to Ukraine International Airlines, that crashed after taking off from Iran&#39;s Imam Khomeini airport, is seen on the outskirts of Tehran, Iran January 8, 2020. ' height='259' />                <p>Iranian investigators are blaming a misaligned missile battery and miscommunication between soldiers and their commanders for the Revolutionary Guard shooting down a Ukrainian jetliner in January, killing 176 people, including 55 Canadians.</p>
        
      ",https://www.cbc.ca/news/world/iran-missile-plane-downing-1.5646771?cmp=rss,"<pubDate>Sun, 12 Jul 2020 10:39:00 EDT</pubDate>"
,,,
Canada halts Ukraine puppy imports; New rules against vaping ads: CBC's Marketplace Cheat Sheet,"
        
                        <img src='https://i.cbc.ca/1.5645563.1594409456!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/ukraine-flight.jpg' alt='Ukraine flight' width='460' title='The Canadian Food Inspection Agency is still investigating after the gruesome discovery of dozens of dead and dying dogs aboard a recent flight from Ukraine.

' height='259' />                <p>CBC's Marketplace rounds up the consumer and health news you need from the week.</p>
        
      ",https://www.cbc.ca/news/business/marketplace-cheat-sheet-1.5645435?cmp=rss,"<pubDate>Sun, 12 Jul 2020 09:00:00 EDT</pubDate>"
,,,
Bollywood's Bachchan family hit by coronavirus,"
        
                        <img src='https://i.cbc.ca/1.5646743.1594551833!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_460/health-coronavirus-india-bachchan.JPG' alt='HEALTH-CORONAVIRUS/INDIA-BACHCHAN' width='460' title='FILE PHOTO: Bollywood actor Amitabh Bachchan leaves after attending the wedding ceremony of Isha Ambani, the daughter of the Chairman of Reliance Industries Mukesh Ambani, in Mumbai, India, December 13, 2018. REUTERS/Francis Mascarenhas/File Photo' height='259' />                <p>Three generations of Bollywood's Bachchan family were hit by the coronavirus as former Miss World Aishwarya Rai Bachchan and her daughter on Sunday joined her father-in-law Amitabh and husband Abhishek in testing positive for the virus that causes COVID-19.</p>
        
      ",https://www.cbc.ca/news/world/india-coronavirus-bollywood-actors-1.5646742?cmp=rss,"<pubDate>Sun, 12 Jul 2020 07:20:24 EDT</pubDate>"
,,,
WE Charity lays off contract workers who would have administered student service grant,"
        
                        <img src='https://i.cbc.ca/1.5646718.1594525508!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/we-day-toronto-20170928.jpg' alt='WE day Toronto 20170928' width='460' title='Prince Harry speaks during WE Day Toronto celebrations on Thursday, Sept. 28, 2017. WE Charity is a children&#39;s charity founded in 1995 by child&#39;s rights advocate Craig Kielburger. THE CANADIAN PRESS/Nathan Denette' height='259' />                <p>WE Charity laid off hundreds of contract workers who were brought in to administer the federal government's Canada Student Service Grant, according to a statement from the charity on Saturday.</p>
        
      ",https://www.cbc.ca/news/politics/we-charity-lays-off-contract-workers-cssg-1.5646712?cmp=rss,"<pubDate>Sat, 11 Jul 2020 23:49:13 EDT</pubDate>"
,,,
"Bill before Commons could be tweaked to improve RCMP oversight, says Goodale","
        
                        <img src='https://i.cbc.ca/1.5643285.1594305142!/cumulusImage/httpImage/image.jpg_gen/derivatives/16x9_460/white-rock-pier-reopening.jpg' alt='WHITE ROCK PIER REOPENING' width='460' title='An RCMP officer walks along the White Rock pier on its first day of reopening in White Rock, British Columbia on Wednesday, June 17, 2020.' height='259' />                <p>Former public safety minister Ralph Goodale says a bill now stalled in the House of Commons could be augmented to improve RCMP oversight — a suggestion that comes as calls to reform the national police force increase.</p>
        
      ",https://www.cbc.ca/news/politics/rcmp-oversight-goodale-lucki-1.5643272?cmp=rss,"<pubDate>Sun, 12 Jul 2020 04:00:00 EDT</pubDate>"
,,,
"As permafrost thaws under intense heat, Russia's Siberia burns — again","
        
                        <img src='https://i.cbc.ca/1.5645482.1594407985!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_460/russia-fires-siberia.JPG' alt='RUSSIA-FIRES/SIBERIA' width='460' title='A member of The Aerial Forest Protection Service helps to put out a forest fire in Krasnoyarsk region, Russia, in this still image taken from an undated handout video obtained by Reuters July 10, 2020. The Aerial Forest Protection Service/Handout via REUTERS ATTENTION EDITORS - THIS IMAGE WAS PROVIDED BY A THIRD PARTY. NO RESALES. NO ARCHIVES. MANDATORY CREDIT' height='259' />                <p>It's hotter than ever in northern Russia and the implications for the earth's climate are significant. Currently, 1.77 million hectares of land are burning with expectations that the total fire area could eventually surpass the 17 million hectares that burned in 2019.</p>
        
      ",https://www.cbc.ca/news/world/siberia-burning-climate-change-russia-1.5645428?cmp=rss,"<pubDate>Sun, 12 Jul 2020 04:00:00 EDT</pubDate>"
,,,
Ubisoft Canada CEO resigns amid harassment claims made against several employees,"
        
                        <img src='https://i.cbc.ca/1.4612230.1523316969!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/yannis-mallat.jpg' alt='Yannis Mallat' width='460' title='Yannis Mallat, president of Ubisoft Canada, said a tax credit from the Manitoba Government attracted the company to Winnipeg.' height='259' />                <p>Yannis Mallat, the president of Ubisoft Canada, resigned Saturday evening with immediate effect, according to a statement from the company. The announcement comes in the wake of a series of allegations, made throughout the company, of sexist behaviour, abuse of power and harassment.</p>
        
      ",https://www.cbc.ca/news/canada/montreal/ubisoft-canada-ceo-yannis-mallat-1.5646662?cmp=rss,"<pubDate>Sat, 11 Jul 2020 20:23:09 EDT</pubDate>"
,,,
Trump wears face mask in public for 1st time during military hospital visit,"
        
                        <img src='https://i.cbc.ca/1.5646592.1594504949!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/aptopix-trump.jpg' alt='APTOPIX Trump' width='460' title='President Donald Trump wears a mask as he walks down the hallway during his visit to Walter Reed National Military Medical Center in Bethesda, Md., Saturday, July 11, 2020.' height='259' />                <p>U.S. President Donald Trump wore a mask during a visit to a military hospital on Saturday, the first time the president has been seen in public with the type of facial covering recommended by health officials as a precaution against spreading or becoming infected by the novel coronavirus.</p>
        
      ",https://www.cbc.ca/news/world/trump-face-mask-public-1st-time-military-hospital-visit-1.5646591?cmp=rss,"<pubDate>Sat, 11 Jul 2020 17:47:39 EDT</pubDate>"
,,,
Justin Trudeau drops into another pitfall of his own making,"
        
                        <img src='https://i.cbc.ca/1.5645893.1594418856!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_460/covid-cda-20200703.JPG' alt='Covid Cda  20200703' width='460' title='Prime Minister Justin Trudeau speaks at a news conference in Gatineau, Que., Friday, July 3, 2020.' height='259' />                <p>For whatever reason, the prime minister and his office seem to have a recurring problem of failing to check themselves. As a result, they have now repeatedly wrecked themselves.</p>
        
      ",https://www.cbc.ca/news/politics/justin-trudeau-we-charity-margaret-trudeau-alexandre-1.5645781?cmp=rss,"<pubDate>Sat, 11 Jul 2020 04:00:00 EDT</pubDate>"
,,,
"Robert Mueller defends Russia probe, says Roger Stone 'remains a convicted felon' in op-ed","
        
                        <img src='https://i.cbc.ca/1.5646648.1594509225!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_460/usa-trump-mueller.JPG' alt='USA-TRUMP/MUELLER' width='460' title='Former Special Counsel Robert Mueller testifies before the House Intelligence Committee at a hearing on the Office of Special Counsel&#39;s investigation into Russian Interference in the 2016 Presidential Election on Capitol Hill in Washington, U.S., July 24, 2019. REUTERS/Leah Millis' height='259' />                <p>An op-ed in The Washington Post marked Robert Mueller's first public statement on his investigation since his congressional appearance last July.</p>
        
      ",https://www.cbc.ca/news/world/robert-mueller-roger-stone-russia-investigation-trump-commute-sentence-1.5646624?cmp=rss,"<pubDate>Sat, 11 Jul 2020 19:01:32 EDT</pubDate>"
,,,
Mother charged after stabbing sent 2 children to hospital,"
        
                        <img src='https://i.cbc.ca/1.5646421.1594487355!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/stabbing-1.jpg' alt='stabbing 1' width='460' title='Toronto police were called to Weston Road and Finch Avenue West for a report of a stabbing on Saturday morning.' height='259' />                <p>A 36-year-old mother is being charged with multiple counts of attempted murder, aggravated assault and assault after a stabbing sent her two children to the hospital in North York on Saturday morning, Toronto police say.</p>
        
      ",https://www.cbc.ca/news/canada/toronto/mother-children-stabbing-toronto-1.5646353?cmp=rss,"<pubDate>Sat, 11 Jul 2020 11:29:43 EDT</pubDate>"
